                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.77124,                 7.5148,                0.71343,                 0.6635,                 1.3567,                0.10051,                0.40203,                 0.0662,                0.02648,                      0,                      0,                      0,                      0,                 3.5715,                 8.7978,                0.68386,                 4.6117,                 3.7061,             0.00028028,             0.00028028,             0.00028028
                     24,                0.82268,                 5.7929,                0.73254,                0.71702,                 1.3485,                0.10051,                0.40203,                 0.0662,                0.02648,                      0,                      0,                      0,                      0,                 3.5715,                 8.7978,                0.68386,                 4.6117,                 3.7061,             0.00028543,             0.00028543,             0.00028543
                     25,                0.83334,                 6.5726,                0.71185,                0.62831,                 1.3163,                0.01961,                    0.5,                0.06688,                0.02675,                      0,                      0,                      0,                      0,                 3.6051,                 8.6982,                0.68475,                 4.9875,                 3.6611,             0.00028992,             0.00028992,             0.00028992
                     26,                0.76263,                 6.6037,                0.71057,                0.55329,                 1.2951,                0.01961,                    0.5,                0.06688,                0.02675,                      0,                      0,                      0,                      0,                 3.6051,                 8.6982,                0.68475,                 4.9875,                 3.6611,             0.00029375,             0.00029375,             0.00029375
                     27,                0.68791,                 6.2055,                0.75272,                 0.5778,                 1.2744,                0.18364,                0.69034,                0.24875,                0.06337,                      0,                      0,                      0,                      0,                 3.3859,                 8.5789,                0.68358,                 5.1487,                 3.2158,             0.00029692,             0.00029692,             0.00029692
                     28,                0.79362,                 6.0859,                0.70288,                 0.6199,                 1.3064,                0.18364,                0.69034,                0.24875,                0.06337,                      0,                      0,                      0,                      0,                 3.3859,                 8.5789,                0.68358,                 5.1487,                 3.2158,             0.00029943,             0.00029943,             0.00029943
                     29,                0.75777,                 6.2838,                 0.7283,                0.54144,                  1.351,                0.32006,                      1,                0.33167,                0.10844,                      0,                      0,                      0,                      0,                  2.852,                 8.2036,                0.68408,                  5.598,                 2.6947,             0.00030128,             0.00030128,             0.00030128
                     30,                0.86995,                 5.8062,                0.72672,                0.74063,                 1.3869,                0.32006,                      1,                0.33167,                0.10844,                      0,                      0,                      0,                      0,                  2.852,                 8.2036,                0.68408,                  5.598,                 2.6947,             0.00030247,             0.00030247,             0.00030247
                     31,                 0.6117,                 5.5648,                0.74631,                 0.5901,                 1.2111,                0.32191,                      1,                0.33167,                0.12085,                      0,                      0,                      0,                      0,                 2.8308,                 8.4412,                0.67634,                 5.1861,                 2.4796,               0.000303,               0.000303,               0.000303
                     32,                0.83997,                 5.7253,                0.71093,                 0.6438,                 1.3714,                0.32191,                      1,                0.33167,                0.12085,                      0,                      0,                      0,                      0,                 2.8308,                 8.4412,                0.67634,                 5.1861,                 2.4796,             0.00030287,             0.00030287,             0.00030287
                     33,                0.76244,                 6.1153,                0.71869,                0.59576,                 1.3838,                0.32832,                      1,                0.33167,                0.17496,                      0,                      0,                      0,                      0,                 2.1817,                 8.3379,                0.67411,                 5.7345,                 1.7928,             0.00030208,             0.00030208,             0.00030208
